pokemon_name,pokemon_type,damage_from,from_type
abomasnow,grass,2,bug
abomasnow,grass,1,electric
abomasnow,grass,2,fire
abomasnow,grass,2,flying
abomasnow,grass,1,grass
abomasnow,grass,1,ground
abomasnow,grass,2,ice
abomasnow,grass,2,poison
abomasnow,grass,1,water
abomasnow,ice,2,fighting
abomasnow,ice,2,fire
abomasnow,ice,1,ice
abomasnow,ice,2,rock
abomasnow,ice,2,steel
abomasnow-mega,grass,2,bug
abomasnow-mega,grass,1,electric
abomasnow-mega,grass,2,fire
abomasnow-mega,grass,2,flying
abomasnow-mega,grass,1,grass
abomasnow-mega,grass,1,ground
abomasnow-mega,grass,2,ice
abomasnow-mega,grass,2,poison
abomasnow-mega,grass,1,water
abomasnow-mega,ice,2,fighting
abomasnow-mega,ice,2,fire
abomasnow-mega,ice,1,ice
abomasnow-mega,ice,2,rock
abomasnow-mega,ice,2,steel
abra,psychic,2,bug
abra,psychic,2,dark
abra,psychic,1,fighting
abra,psychic,2,ghost
abra,psychic,1,psychic
absol,dark,2,bug
absol,dark,1,dark
absol,dark,2,fairy
absol,dark,2,fighting
absol,dark,1,ghost
absol,dark,0,psychic
absol-mega,dark,2,bug
absol-mega,dark,1,dark
absol-mega,dark,2,fairy
absol-mega,dark,2,fighting
absol-mega,dark,1,ghost
absol-mega,dark,0,psychic
accelgor,bug,1,fighting
accelgor,bug,2,fire
accelgor,bug,2,flying
accelgor,bug,1,grass
accelgor,bug,1,ground
accelgor,bug,2,rock
aegislash-blade,ghost,1,bug
aegislash-blade,ghost,2,dark
aegislash-blade,ghost,0,fighting
aegislash-blade,ghost,2,ghost
aegislash-blade,ghost,0,normal
aegislash-blade,ghost,1,poison
aegislash-blade,steel,1,bug
aegislash-blade,steel,1,dragon
aegislash-blade,steel,1,fairy
aegislash-blade,steel,2,fighting
aegislash-blade,steel,2,fire
aegislash-blade,steel,1,flying
aegislash-blade,steel,1,grass
aegislash-blade,steel,2,ground
aegislash-blade,steel,1,ice
aegislash-blade,steel,1,normal
aegislash-blade,steel,0,poison
aegislash-blade,steel,1,psychic
aegislash-blade,steel,1,rock
aegislash-blade,steel,1,steel
aegislash-shield,ghost,1,bug
aegislash-shield,ghost,2,dark
aegislash-shield,ghost,0,fighting
aegislash-shield,ghost,2,ghost
aegislash-shield,ghost,0,normal
aegislash-shield,ghost,1,poison
aegislash-shield,steel,1,bug
aegislash-shield,steel,1,dragon
aegislash-shield,steel,1,fairy
aegislash-shield,steel,2,fighting
aegislash-shield,steel,2,fire
aegislash-shield,steel,1,flying
aegislash-shield,steel,1,grass
aegislash-shield,steel,2,ground
aegislash-shield,steel,1,ice
aegislash-shield,steel,1,normal
aegislash-shield,steel,0,poison
aegislash-shield,steel,1,psychic
aegislash-shield,steel,1,rock
aegislash-shield,steel,1,steel
aerodactyl,flying,1,bug
aerodactyl,flying,2,electric
aerodactyl,flying,1,fighting
aerodactyl,flying,1,grass
aerodactyl,flying,0,ground
aerodactyl,flying,2,ice
aerodactyl,flying,2,rock
aerodactyl,rock,2,fighting
aerodactyl,rock,1,fire
aerodactyl,rock,1,flying
aerodactyl,rock,2,grass
aerodactyl,rock,2,ground
aerodactyl,rock,1,normal
aerodactyl,rock,1,poison
aerodactyl,rock,2,steel
aerodactyl,rock,2,water
aerodactyl-mega,flying,1,bug
aerodactyl-mega,flying,2,electric
aerodactyl-mega,flying,1,fighting
aerodactyl-mega,flying,1,grass
aerodactyl-mega,flying,0,ground
aerodactyl-mega,flying,2,ice
aerodactyl-mega,flying,2,rock
aerodactyl-mega,rock,2,fighting
aerodactyl-mega,rock,1,fire
aerodactyl-mega,rock,1,flying
