pokemon_name,pokemon_type,damage_to,to_type
abomasnow,grass,1,bug
abomasnow,grass,1,dragon
abomasnow,grass,1,fire
abomasnow,grass,1,flying
abomasnow,grass,1,grass
abomasnow,grass,2,ground
abomasnow,grass,1,poison
abomasnow,grass,2,rock
abomasnow,grass,1,steel
abomasnow,grass,2,water
abomasnow,ice,2,dragon
abomasnow,ice,1,fire
abomasnow,ice,2,flying
abomasnow,ice,2,grass
abomasnow,ice,2,ground
abomasnow,ice,1,ice
abomasnow,ice,1,steel
abomasnow,ice,1,water
abomasnow-mega,grass,1,bug
abomasnow-mega,grass,1,dragon
abomasnow-mega,grass,1,fire
abomasnow-mega,grass,1,flying
abomasnow-mega,grass,1,grass
abomasnow-mega,grass,2,ground
abomasnow-mega,grass,1,poison
abomasnow-mega,grass,2,rock
abomasnow-mega,grass,1,steel
abomasnow-mega,grass,2,water
abomasnow-mega,ice,2,dragon
abomasnow-mega,ice,1,fire
abomasnow-mega,ice,2,flying
abomasnow-mega,ice,2,grass
abomasnow-mega,ice,2,ground
abomasnow-mega,ice,1,ice
abomasnow-mega,ice,1,steel
abomasnow-mega,ice,1,water
abra,psychic,0,dark
abra,psychic,2,fighting
abra,psychic,2,poison
abra,psychic,1,psychic
abra,psychic,1,steel
absol,dark,1,dark
absol,dark,1,fairy
absol,dark,1,fighting
absol,dark,2,ghost
absol,dark,2,psychic
absol-mega,dark,1,dark
absol-mega,dark,1,fairy
absol-mega,dark,1,fighting
absol-mega,dark,2,ghost
absol-mega,dark,2,psychic
accelgor,bug,2,dark
accelgor,bug,1,fairy
accelgor,bug,1,fighting
accelgor,bug,1,fire
accelgor,bug,1,flying
accelgor,bug,1,ghost
accelgor,bug,2,grass
accelgor,bug,1,poison
accelgor,bug,2,psychic
accelgor,bug,1,steel
aegislash-blade,ghost,1,dark
aegislash-blade,ghost,2,ghost
aegislash-blade,ghost,0,normal
aegislash-blade,ghost,2,psychic
aegislash-blade,steel,1,electric
aegislash-blade,steel,2,fairy
aegislash-blade,steel,1,fire
aegislash-blade,steel,2,ice
aegislash-blade,steel,2,rock
aegislash-blade,steel,1,steel
aegislash-blade,steel,1,water
aegislash-shield,ghost,1,dark
aegislash-shield,ghost,2,ghost
aegislash-shield,ghost,0,normal
aegislash-shield,ghost,2,psychic
aegislash-shield,steel,1,electric
aegislash-shield,steel,2,fairy
aegislash-shield,steel,1,fire
aegislash-shield,steel,2,ice
aegislash-shield,steel,2,rock
aegislash-shield,steel,1,steel
aegislash-shield,steel,1,water
aerodactyl,flying,2,bug
aerodactyl,flying,1,electric
aerodactyl,flying,2,fighting
